_id,Lat,Long,OWNER,TOTAL_VALUE,YR_BUILT,OVERALL_COND,Evict_rate,Code_violation_count,Likelihood_of_purchase,Landlord_score,Top_10_owner,DATA_YR
74791,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,520200,1910,A - Average,0,0,0,0,1,2024
74806,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1318700,1900,A - Average,0,0,0,0,1,2024
74807,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1315700,1900,A - Average,0,0,0,0,1,2024
74814,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,492300,1899,A - Average,0,0,0,0,1,2024
74903,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1398900,1900,A - Average,0,0,0,0,1,2024
74948,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,785900,1900,A - Average,0,0,0,0,1,2024
74996,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1243500,1905,A - Average,0,0,0,0,1,2024
75072,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,791200,1910,A - Average,0,0,0,0,1,2024
75145,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,848200,1910,A - Average,0,0,0,0,1,2024
75164,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1200400,1905,A - Average,0,0,0,0,1,2024
75282,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1322900,1905,A - Average,0,0,0,0,1,2024
75283,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,42300,1942,A - Average,0,0,0,0,1,2024
75284,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,50700,1942,A - Average,0,0,0,0,1,2024
75364,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1379700,1905,A - Average,0,0,0,0,1,2024
75365,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1198100,1905,A - Average,0,0,0,0,1,2024
75391,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,654300,1905,F - Fair,0,0,0,0,1,2024
75394,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1138500,1910,A - Average,0,0,0,0,1,2024
75597,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,606300,1905,A - Average,0,0,0,0,1,2024
75860,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,820700,1920,A - Average,0,0,0,0,1,2024
75954,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,814900,1905,A - Average,0,0,0,0,1,2024
75955,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,962500,1905,A - Average,0,0,0,0,1,2024
75956,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1116000,1905,G - Good,0,0,0,0,1,2024
75958,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,789400,1905,A - Average,0,0,0,0,1,2024
75976,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,747700,1920,A - Average,0,0,0,0,1,2024
75980,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,41700,1942,A - Average,0,0,0,0,1,2024
75981,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1261100,1910,G - Good,0,0,0,0,1,2024
76019,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,897800,1905,A - Average,0,0,0,0,1,2024
76029,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1045200,1905,G - Good,0,0,0,0,1,2024
76055,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1081800,1905,A - Average,0,0,0,0,1,2024
76152,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,533800,2001,G - Good,0,0,0,0,1,2024
76281,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,911400,1880,A - Average,0,0,0,0,1,2024
76292,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,488800,1905,A - Average,0,0,0,0,1,2024
76301,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,367000,1979,A - Average,0,0,0,0,1,2024
76351,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1300800,1905,G - Good,0,0,0,0,1,2024
76354,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,5000,1942,A - Average,0,0,0,0,1,2024
76438,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,514500,1890,A - Average,0,0,0,0,1,2024
82701,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,596200,1890,G - Good,0,0,0,0,1,2024
82824,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1055000,1890,A - Average,0,0,0,0,1,2024
84470,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,60800,1942,A - Average,0,0,0,0,1,2024
84487,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,476200,1899,A - Average,0,0,0,0,1,2024
84567,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,452400,1910,A - Average,0,0,0,0,1,2024
84568,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,451500,1910,A - Average,0,0,0,0,1,2024
84569,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,452400,1910,A - Average,0,0,0,0,1,2024
84587,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1348000,1900,A - Average,0,0,0,0,1,2024
84738,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,2540700,1890,A - Average,0,0,0,0,1,2024
85152,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1045700,1920,G - Good,0,0,0,0,1,2024
85153,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1521500,1935,A - Average,0,0,0,0,1,2024
85154,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1700200,2003,G - Good,0,0,0,0,1,2024
85155,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1673500,2003,G - Good,0,0,0,0,1,2024
85190,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1367100,1935,A - Average,0,0,0,0,1,2024
98256,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1265300,1915,A - Average,0,0,0,0,1,2024
98906,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1531400,1900,G - Good,0,0,0,0,1,2024
98946,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1054900,1905,A - Average,0,0,0,0,1,2024
98981,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,516600,1910,F - Fair,0,0,0,0,1,2024
99051,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1420000,1905,A - Average,0,0,0,0,1,2024
99363,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1375300,1900,G - Good,0,0,0,0,1,2024
99687,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1105700,1905,A - Average,0,0,0,0,1,2024
99688,42.3129368,-71.0508214,REAL ESTATE BOSTON LLC,1199400,1905,A - Average,0,0,0,0,1,2024
100494,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1253100,1905,A - Average,0,0,0,0,1,2024
100546,42.3163463,-71.0555571,REAL ESTATE BOSTON LLC,1552000,1905,A - Average,0,0,0,0,1,2024
100556,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1240000,1905,A - Average,0,0,0,0,1,2024
100569,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1434800,1905,A - Average,0,0,0,0,1,2024
100577,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1067300,1905,A - Average,0,0,0,0,1,2024
100620,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1651400,1915,G - Good,0,0,0,0,1,2024
100639,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1297500,1905,A - Average,0,0,0,0,1,2024
100666,42.3164643,-71.0529801,REAL ESTATE BOSTON LLC,1244500,1905,A - Average,0,0,0,0,1,2024
100692,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1203100,1905,A - Average,0,0,0,0,1,2024
100840,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1057500,1905,A - Average,0,0,0,0,1,2024
100859,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1311100,1905,A - Average,0,0,0,0,1,2024
100868,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1415700,1915,G - Good,0,0,0,0,1,2024
100885,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,53600,1942,A - Average,0,0,0,0,1,2024
100886,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,916400,1925,A - Average,0,0,0,0,1,2024
100887,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1508500,1905,A - Average,0,0,0,0,1,2024
100910,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1296900,1905,A - Average,0,0,0,0,1,2024
100935,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,910800,1900,G - Good,0,0,0,0,1,2024
101022,42.3173005,-71.0524464,REAL ESTATE BOSTON LLC,651600,1900,A - Average,0,0,0,0,1,2024
101028,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,13500,1942,A - Average,0,0,0,0,1,2024
101029,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,747000,1989,A - Average,0,0,0,0,1,2024
101057,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,989400,2004,G - Good,0,0,0,0,1,2024
101058,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1071900,1930,A - Average,0,0,0,0,1,2024
101059,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,860600,1910,G - Good,0,0,0,0,1,2024
101203,42.3418872,-71.0873303,REAL ESTATE BOSTON LLC,1187000,1905,A - Average,0,0,0,0,1,2024
172842,42.3395877,-71.164952,TRUSTEES OF BOSTON COLLEGE,37516900,2015,G - Good,0,0,0,0,1,2024
172847,42.3300286,-71.1850406,TRUSTEES OF BOSTON COLLEGE,1143400,1925,A - Average,0,0,0,0,1,2024
172851,42.3300286,-71.1850406,TRUSTEES OF BOSTON COLLEGE,950700,1923,A - Average,0,0,0,0,1,2024
172854,42.3300286,-71.1850406,TRUSTEES OF BOSTON COLLEGE,1129900,1923,G - Good,0,0,0,0,1,2024
172856,42.3300286,-71.1850406,TRUSTEES OF BOSTON COLLEGE,1366100,1920,A - Average,0,0,0,0,1,2024
172858,42.3300286,-71.1850406,TRUSTEES OF BOSTON COLLEGE,1146300,1920,A - Average,0,0,0,0,1,2024
172860,42.3300286,-71.1850406,TRUSTEES OF BOSTON COLLEGE,1343100,1940,A - Average,0,0,0,0,1,2024
172861,42.3300286,-71.1850406,TRUSTEES OF BOSTON COLLEGE,1196000,1940,A - Average,0,0,0,0,1,2024
172862,42.3300286,-71.1850406,TRUSTEES OF BOSTON COLLEGE,1406600,1925,A - Average,0,0,0,0,1,2024
172884,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,0,1999,A - Average,0,0,0,0,1,2024
172885,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172886,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172887,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172888,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172889,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172890,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172891,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172893,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172894,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172895,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172896,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172897,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172898,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172899,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172900,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172901,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172902,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172903,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172904,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172905,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172906,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172907,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172908,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172909,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172910,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172911,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172912,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172913,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172914,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172915,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172916,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172917,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172918,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172919,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172920,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172921,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172922,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172923,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172924,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172925,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172926,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172927,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172928,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172929,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172930,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172931,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172932,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172933,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172934,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172935,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172936,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172937,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172938,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172939,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172940,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172941,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172942,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172943,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172944,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172945,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172946,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172947,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172948,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172949,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172950,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172951,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172952,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172953,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172954,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172955,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172956,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172957,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172958,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172959,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172960,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172962,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172963,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172964,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172965,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172966,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172967,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172968,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172969,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172970,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172971,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172972,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172973,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172974,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172975,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172976,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172977,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172978,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172979,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172980,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172981,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172983,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172984,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172985,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172986,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172987,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172988,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172989,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172990,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172991,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
172992,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172993,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,331500,1985,A - Average,0,0,0,0,1,2024
172994,42.3361277,-71.16926,TRUSTEES OF BOSTON COLLEGE,259500,1985,A - Average,0,0,0,0,1,2024
